일자,자원,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_24
2021-01-28,풍력,0.01,,2.86,12.9,14.52,23.17,63.61,85.86,122.61,128.19,192.28,164.95,161.76,186.19,180.72,157.42,134.15,131.07,137.95,145.82,142.75,135.58,143.2,155.19
2021-01-29,태양광,0.0,0.0,0.0,0.0,0.03,0.05,0.0,0.25,11.49,38.48,76.97,118.39,149.7,178.93,155.62,122.37,67.96,13.66,5.9,6.97,5.61,3.68,0.74,0.06
2021-01-29,풍력,148.57,157.01,172.95,169.05,165.47,174.15,166.39,162.95,176.9,174.4,171.2,175.1,163.29,149.52,154.44,185.45,166.74,109.01,121.03,111.95,68.04,48.33,42.1,29.82
2021-01-30,태양광,0.01,0.01,0.0,0.0,0.03,0.01,0.03,1.41,32.8,100.58,150.94,174.52,171.18,145.16,135.93,121.47,65.69,11.54,4.1,8.59,6.39,5.84,0.94,1.07
2021-01-30,풍력,14.59,10.47,8.91,6.86,8.73,36.0,32.69,34.69,26.89,21.96,33.94,28.12,33.35,37.41,43.41,39.41,34.55,23.92,37.16,39.07,25.23,19.61,9.19,2.22
2021-01-31,태양광,0.23,0.2,0.19,0.19,0.21,0.24,0.08,1.05,19.93,61.86,71.93,90.27,108.45,120.75,106.37,70.28,33.06,6.37,5.83,8.78,6.7,1.86,0.81,0.25
2021-01-31,풍력,0.05,0.25,4.9,6.18,7.24,13.14,17.5,20.8,30.21,23.45,49.48,78.59,107.51,134.25,141.99,149.52,118.42,63.7,66.48,98.97,113.82,127.44,133.0,127.23
2021-02-01,태양광,0.2,0.2,0.2,0.05,0.03,0.05,0.01,0.03,2.13,5.92,5.48,10.0,20.84,21.23,18.8,14.19,9.7,3.08,0.21,2.25,0.04,0.01,0.01,0.01
2021-02-01,풍력,126.79,131.03,147.43,150.95,160.69,148.16,78.05,48.01,23.49,23.78,12.25,42.31,46.57,16.81,8.34,8.05,13.71,29.4,32.05,50.53,77.28,91.62,88.27,122.32
2021-02-02,태양광,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1.64,36.27,110.15,161.23,193.08,202.53,193.39,158.08,107.49,53.98,11.14,2.82,8.21,6.28,5.99,3.51,0.71
2021-02-02,풍력,165.9,207.65,195.39,201.79,211.71,211.11,189.64,159.25,156.2,155.19,150.23,130.75,96.66,101.7,160.8,201.2,200.89,180.2,185.29,164.78,161.03,149.09,152.83,150.16
2021-02-03,태양광,0.58,0.2,0.71,0.19,0.21,0.11,0.04,1.75,38.85,108.94,154.68,190.83,201.24,195.24,170.29,132.86,75.84,16.01,6.36,8.71,6.2,5.7,1.44,0.27
2021-02-03,풍력,148.72,159.04,165.93,145.02,118.21,117.72,85.18,44.47,17.82,6.99,3.71,4.4,5.48,6.35,3.61,1.8,1.7,4.19,11.27,13.95,29.84,21.12,12.21,24.87
2021-02-04,태양광,0.24,0.2,0.19,0.19,0.22,0.24,0.13,1.11,26.92,94.04,168.41,208.66,224.14,222.53,201.71,158.09,94.54,19.6,6.27,8.54,6.79,4.73,1.43,0.32
2021-02-04,풍력,25.06,45.19,44.32,71.37,112.64,134.07,149.44,143.72,151.22,137.55,116.6,82.83,54.81,47.09,77.01,119.68,126.6,117.34,130.6,101.04,66.97,42.44,46.57,71.98
2021-02-05,태양광,0.21,0.24,0.34,0.34,0.33,0.27,0.12,1.11,16.36,34.66,62.76,39.71,32.78,26.42,42.93,20.97,6.2,1.75,4.75,2.19,0.55,0.07,0.03,0.0
2021-02-05,풍력,38.52,29.4,41.81,50.18,35.86,38.05,24.68,10.79,3.85,3.22,3.53,2.22,3.06,2.42,2.14,5.13,1.07,1.02,10.97,16.12,7.48,11.8,41.69,43.57
2021-02-06,태양광,0.0,0.0,0.0,0.0,0.02,0.0,0.0,1.98,38.05,99.04,135.8,165.31,171.65,175.68,144.13,101.32,68.44,17.12,6.41,8.71,6.82,3.65,0.92,0.25
2021-02-06,풍력,11.76,12.53,26.92,30.47,33.94,49.45,72.23,36.18,16.12,3.82,2.25,5.16,6.99,15.29,34.16,39.6,41.41,29.99,20.83,11.47,8.11,9.35,14.0,29.68
2021-02-07,태양광,0.2,0.2,0.2,0.19,0.23,0.27,0.13,2.02,30.01,84.77,131.73,166.1,181.76,178.22,154.39,114.78,63.32,15.4,6.42,8.73,7.1,4.79,1.35,0.27
2021-02-07,풍력,53.46,55.29,70.68,68.78,64.57,78.42,61.48,39.26,18.85,13.6,12.78,7.75,8.2,12.33,22.08,28.29,29.44,54.47,97.62,133.71,167.93,177.46,176.81,168.1
2021-02-08,태양광,0.22,0.25,0.25,0.24,0.24,0.2,0.05,0.75,16.03,55.54,117.99,180.86,205.02,207.63,195.57,152.87,90.7,20.24,6.51,8.62,7.02,4.83,1.37,0.25
2021-02-08,풍력,172.49,184.56,174.98,184.16,190.37,186.73,191.29,187.65,191.67,201.97,198.92,132.31,73.3,63.38,62.09,115.92,196.39,228.34,239.0,232.1,231.48,220.31,198.1,166.36
2021-02-09,태양광,0.21,0.25,0.24,0.24,0.24,0.16,0.0,2.69,41.57,116.78,163.88,191.24,208.14,207.32,185.93,145.48,87.87,21.8,6.36,8.47,6.96,4.91,1.43,0.31
2021-02-09,풍력,160.1,153.77,142.72,121.17,,159.42,128.83,120.74,102.73,104.07,77.68,87.21,66.5,42.4,51.74,59.25,51.0,32.13,52.83,53.14,41.12,30.63,24.99,15.48
2021-02-10,태양광,0.41,0.45,0.32,0.24,0.24,0.21,0.12,3.4,38.57,105.82,150.17,174.15,148.76,127.0,115.96,96.89,55.5,12.51,6.47,8.7,7.02,4.66,1.29,0.26
2021-02-10,풍력,15.12,23.72,36.58,23.16,37.72,35.44,19.14,17.04,19.97,14.57,9.59,6.63,7.33,,14.43,16.32,18.71,28.02,42.48,44.48,60.69,41.73,31.72,38.25
2021-02-11,태양광,0.22,0.28,0.27,0.24,0.19,0.19,0.08,1.24,16.12,43.41,55.25,62.42,74.27,73.13,56.94,37.8,18.08,5.53,6.17,5.92,1.33,0.59,0.28,0.07
2021-02-11,풍력,31.79,12.52,13.8,16.48,17.77,24.98,15.78,19.13,8.36,4.19,10.05,4.25,5.46,2.41,1.95,2.76,3.17,6.61,3.06,1.24,0.62,3.32,12.98,20.12
